Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEIL;DER;27/09/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco Imposto de Renda | OB 2024OB020200;26;R$ 18.527,39;sim
SEED;FUNDEPAR;01/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | NF 4064 - 3º Medição | OB 2024OB007766;12;R$ 181.795,50;sim
SEED;FUNDEPAR;01/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | ISS | OB OB 2024OB007765;12;R$ 9.690,59;sim
SEED;FUNDEPAR;02/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | IMPOSTO DE RENDA | OB 2024OB007793;12;R$ 2.325,74;sim
SEIL;DER;01/10/2024;755;PR-180, trecho Goioerê | NF 10084 e NF 10085 | OB 2024OB020600;26;R$ 2.492.556,03;sim
SEIL;DER;16/10/2024;755;PR-180, trecho Goioerê | ISS | OB 2024OB021553;26;R$ 32.420,66;sim
SEIL;DER;16/10/2024;755;PR-180, trecho Goioerê | ISS | OB 2024OB021554;26;R$ 49.336,35;sim
SEIL;DER;17/10/2024;755;PR-180, trecho Goioerê | Imposto de Renda | OB 2024OB021773;26;R$ 39.186,93;sim
SEIL;DER;01/10/2024;755;PR-180, trecho Goioerê | NF 10084 e NF 10085 | OB 2024OB020601;26;R$ 652.077,75;sim
SEED;FUNDEPAR;09/10/2024;755;Ampliação do Colégio Estadual Moradias Lobato | NF 1192 - 1º Parcela | OB 2024OB008049;12;R$ 330.576,04;sim
SEED;FUNDEPAR;09/10/2024;755;Ampliação do Colégio Estadual Moradias Lobato | ISS | OB 2024OB008050;12;R$ 5.313,72;sim
SEED;FUNDEPAR;10/10/2024;755;Ampliação do Colégio Estadual Moradias Lobato | Imposto de Renda OB 2024OB008123;12;R$ 4.079,63;sim
SEED;FUNDEPAR;15/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | NF 4063 - 4º Parcela | OB 2024OB008228;12;R$ 181.795,50;sim
SEED;FUNDEPAR;15/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | ISS | OB 2024OB008238;12;R$ 9.690,59;sim
SEED;FUNDEPAR;16/10/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | Imposto de Renda | OB 2024OB008320;12;R$ 2.325,74;sim
SEIL;DER;16/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | NF 4952, 4953, 4954 e 4955 | OB 2024OB021516;26;R$ 51.656,07;sim
SEIL;DER;17/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | Imposto de Renda | OB 2024OB021768;26;R$ 648,17;sim
SEIL;DER;17/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB021769;26;R$ 803,64;sim
SEIL;DER;17/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB021770;26;R$ 767,26;sim
SEIL;DER;17/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB021771;26;R$ 86,69;sim
SEIL;DER;17/10/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB021772;26;R$ 51,74;sim
SEIL;DER;16/10/2024;755;Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses | OB 2024OB016621;26;R$ 194.748,07;sim
SEIL;DER;17/10/2024;755;Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses | Imposto de Renda | OB 2024OB021774;26;R$ 9.819,23;sim
SEED;FUNDEPAR;18/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | NF 442 - 3º Parcela OB 2024OB008400;12;R$ 333.034,31;sim
SEED;FUNDEPAR;18/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | ISS OB 2024OB008409;12;R$ 1.840,45;sim
SEED;FUNDEPAR;18/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | Imposto de Renda | OB 2024OB008462;12;R$ 4.067,30;sim
SEED;FUNDEPAR;18/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | NF 443 - 4º Parcela OB 2024OB008401;12;R$ 371.098,29;sim
SEED;FUNDEPAR;18/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | ISS | OB 2024OB008410;12;R$ 2.050,80;sim
SEED;FUNDEPAR;21/10/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | Imposto de Renda OB 2024OB008463;12;R$ 4.532,18;sim
SEIL;DER;21/10/2024;755;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | NF 4925 | OB 2024OB022065;26;R$ 1.664.499,78;sim
SEIL;DER;21/10/2024;755;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | ISS | OB 2024OB022168;26;R$ 12.732,02;sim
SEIL;DER;22/10/2024;755;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | Imposto de Renda | OB 2024OB022484;26;R$ 20.371,24;sim
SEIL;DER;30/10/2024;755;PR-180, trecho Goioerê | NF 10184 e NF 10185 | OB 2024OB023236;26;R$ 2.280.035,10;sim
SEIL;DER;05/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | NF 4958, 4959, 4960 e 4961 | OB 2024OB023620;26;R$ 3.136,70;sim
SEIL;DER;11/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB023950;26;R$ 48,80;sim
SEIL;DER;11/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB023951;26;R$ 46,59;sim
SEIL;DER;11/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB023952;26;R$ 5,26;sim
SEIL;DER;11/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB023953;26;R$ 3,14;sim
SEIL;DER;12/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB024008;26;R$ 39,37;sim
SEIL;DER;11/11/2024;755;PR-180, trecho Goioerê | ISS | OB 2024OB023954;26;R$ 23.506,79;sim
SEIL;DER;11/11/2024;755;PR-180, trecho Goioerê | ISS | OB 2024OB023955;26;R$ 35.771,61;sim
SEIL;DER;12/11/2024;755;PR-180, trecho Goioerê | Imposto de Renda | OB 2024OB024009;26;R$ 28.412,71;sim
